         87183965 function calls (73275312 primitive calls) in 11.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 argparse.py:1533(_get_optional_kwargs)
     24/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1097(__import__)
       22    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:79(_unpack_uint32)
     13/5    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
     16/5    0.000    0.000    0.018    0.004 frozen importlib._bootstrap_external:859(exec_module)
       16    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:575(_classify_pyc)
     35/9    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap>:1018(_gcd_import)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        5    0.000    0.000    0.000    0.000 {built-in function _imp.create_builtin}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
       18    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:506(_get_cached)
       19    0.000    0.000    0.000    0.000 {built-in function posix.getcwd}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        4    0.000    0.000    0.001    0.000 sre_compile.py:783(compile)
       16    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:538(_check_name_wrapper)
      5/4    0.000    0.000    0.000    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.012    0.012 argparse.py:1693(__init__)
       18    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:145(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 frozen _structseq:45(__new__)
      132    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       64    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:129(<genexpr>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.000    0.000 argparse.py:1870(_parse_known_args)
      205    0.000    0.000    0.000    0.000 {built-in function _imp.release_lock}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        4    0.000    0.000    0.001    0.000 sre_parse.py:944(parse)
        7    0.000    0.000    0.000    0.000 argparse.py:820(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        4    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
       26    0.000    0.000    0.000    0.000 os.py:754(encode)
        7    0.000    0.000    0.000    0.000 argparse.py:591(_format_args)
       19    0.000    0.000    0.003    0.000 frozen importlib._bootstrap_external:1430(find_spec)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:348(<lambda>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       37    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        7    0.000    0.000    0.000    0.000 argparse.py:1453(_add_action)
     30/5    0.000    0.000    0.011    0.002 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 argparse.py:1620(__init__)
       17    0.000    0.000    0.001    0.000 re.py:250(compile)
        6    0.000    0.000    0.000    0.000 locale.py:386(normalize)
       24    0.000    0.000    0.000    0.000 _lzma.py:71(add_constant)
        3    0.000    0.000    0.002    0.001 gettext.py:587(translation)
       22    0.000    0.000    0.000    0.000 {method 'from_bytes' of 'type' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:2431(_get_values)
        4    0.000    0.000    0.000    0.000 sre_compile.py:292(_optimize_charset)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       12    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 argparse.py:1831(parse_known_args)
       12    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       43    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       19    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
       56    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:906(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1314(__init__)
        1    0.000    0.000    0.000    0.000 mcts_no_counting.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:802(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
       28    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
       93    0.000    0.000    0.000    0.000 {built-in function _thread.get_ident}
       16    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1021(__init__)
        1    0.000    0.000    0.000    0.000 grp.py:2(<module>)
